	sample_acc	n_reads	n_classified_reads	source	source_class	n_bacterial_reads	species	n_origin_reads	sample_loc	project
1888	SRS047433	20256746	1415638	feces	Human feces	1377712	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
1889	SRS047433	20256746	1415638	feces	Human feces	1377712	Aeromonas media	1	Unknown	Human Microbiome Project
1890	SRS047741	40544389	5341709	feces	Human feces	5211913	Morganella morganii	1	Unknown	Human Microbiome Project
1891	SRS047741	40544389	5341709	feces	Human feces	5211913	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
1892	SRS047741	40544389	5341709	feces	Human feces	5211913	Proteus terrae	0	Unknown	Human Microbiome Project
1893	SRS047741	40544389	5341709	feces	Human feces	5211913	Providencia rettgeri	0	Unknown	Human Microbiome Project
1894	SRS047741	40544389	5341709	feces	Human feces	5211913	Providencia stuartii	2	Unknown	Human Microbiome Project
1895	SRS047741	40544389	5341709	feces	Human feces	5211913	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
1896	SRS047741	40544389	5341709	feces	Human feces	5211913	Atlantibacter hermannii	1	Unknown	Human Microbiome Project
1897	SRS047741	40544389	5341709	feces	Human feces	5211913	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
1898	SRS047741	40544389	5341709	feces	Human feces	5211913	Aeromonas media	2	Unknown	Human Microbiome Project
1899	SRS048060	26320588	2721988	feces	Human feces	2675104	Morganella morganii	0	Unknown	Human Microbiome Project
1900	SRS048060	26320588	2721988	feces	Human feces	2675104	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
1901	SRS048060	26320588	2721988	feces	Human feces	2675104	Proteus terrae	0	Unknown	Human Microbiome Project
1902	SRS048060	26320588	2721988	feces	Human feces	2675104	Providencia rettgeri	0	Unknown	Human Microbiome Project
1903	SRS048060	26320588	2721988	feces	Human feces	2675104	Providencia stuartii	0	Unknown	Human Microbiome Project
1904	SRS048060	26320588	2721988	feces	Human feces	2675104	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
1905	SRS048060	26320588	2721988	feces	Human feces	2675104	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
1906	SRS048060	26320588	2721988	feces	Human feces	2675104	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
1907	SRS048060	26320588	2721988	feces	Human feces	2675104	Aeromonas media	0	Unknown	Human Microbiome Project
1908	SRS048164	44449145	5532678	feces	Human feces	5454529	Morganella morganii	0	Unknown	Human Microbiome Project
1909	SRS048164	44449145	5532678	feces	Human feces	5454529	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
1910	SRS048164	44449145	5532678	feces	Human feces	5454529	Proteus terrae	0	Unknown	Human Microbiome Project
1911	SRS048164	44449145	5532678	feces	Human feces	5454529	Providencia rettgeri	1	Unknown	Human Microbiome Project
1912	SRS048164	44449145	5532678	feces	Human feces	5454529	Providencia stuartii	0	Unknown	Human Microbiome Project
1913	SRS048164	44449145	5532678	feces	Human feces	5454529	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
1914	SRS048164	44449145	5532678	feces	Human feces	5454529	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
1915	SRS048164	44449145	5532678	feces	Human feces	5454529	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
1916	SRS048164	44449145	5532678	feces	Human feces	5454529	Aeromonas media	0	Unknown	Human Microbiome Project
1917	SRS048307	23654086	3303921	feces	Human feces	3221712	Morganella morganii	0	Unknown	Human Microbiome Project
1918	SRS048307	23654086	3303921	feces	Human feces	3221712	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
1919	SRS048307	23654086	3303921	feces	Human feces	3221712	Proteus terrae	0	Unknown	Human Microbiome Project
1920	SRS048307	23654086	3303921	feces	Human feces	3221712	Providencia rettgeri	0	Unknown	Human Microbiome Project
1921	SRS048307	23654086	3303921	feces	Human feces	3221712	Providencia stuartii	0	Unknown	Human Microbiome Project
1922	SRS048307	23654086	3303921	feces	Human feces	3221712	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
1923	SRS048307	23654086	3303921	feces	Human feces	3221712	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
1924	SRS048307	23654086	3303921	feces	Human feces	3221712	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
1925	SRS048307	23654086	3303921	feces	Human feces	3221712	Aeromonas media	0	Unknown	Human Microbiome Project
1926	SRS048654	21990617	2111898	feces	Human feces	2061201	Morganella morganii	0	Unknown	Human Microbiome Project
1927	SRS048654	21990617	2111898	feces	Human feces	2061201	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
1928	SRS048654	21990617	2111898	feces	Human feces	2061201	Proteus terrae	0	Unknown	Human Microbiome Project
1929	SRS048654	21990617	2111898	feces	Human feces	2061201	Providencia rettgeri	0	Unknown	Human Microbiome Project
1930	SRS048654	21990617	2111898	feces	Human feces	2061201	Providencia stuartii	0	Unknown	Human Microbiome Project
1931	SRS048654	21990617	2111898	feces	Human feces	2061201	Kluyvera cryocrescens	1	Unknown	Human Microbiome Project
1932	SRS048654	21990617	2111898	feces	Human feces	2061201	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
1933	SRS048654	21990617	2111898	feces	Human feces	2061201	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
1934	SRS048654	21990617	2111898	feces	Human feces	2061201	Aeromonas media	0	Unknown	Human Microbiome Project
1935	SRS048870	46699271	6632467	feces	Human feces	6384110	Morganella morganii	0	Unknown	Human Microbiome Project
1936	SRS048870	46699271	6632467	feces	Human feces	6384110	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
1937	SRS048870	46699271	6632467	feces	Human feces	6384110	Proteus terrae	0	Unknown	Human Microbiome Project
1938	SRS048870	46699271	6632467	feces	Human feces	6384110	Providencia rettgeri	0	Unknown	Human Microbiome Project
1939	SRS048870	46699271	6632467	feces	Human feces	6384110	Providencia stuartii	0	Unknown	Human Microbiome Project
1940	SRS048870	46699271	6632467	feces	Human feces	6384110	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
1941	SRS048870	46699271	6632467	feces	Human feces	6384110	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
1942	SRS048870	46699271	6632467	feces	Human feces	6384110	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
1943	SRS048870	46699271	6632467	feces	Human feces	6384110	Aeromonas media	0	Unknown	Human Microbiome Project
1944	SRS048981	23974210	3273534	feces	Human feces	3093148	Morganella morganii	0	Unknown	Human Microbiome Project
1945	SRS048981	23974210	3273534	feces	Human feces	3093148	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
1946	SRS048981	23974210	3273534	feces	Human feces	3093148	Proteus terrae	0	Unknown	Human Microbiome Project
1947	SRS048981	23974210	3273534	feces	Human feces	3093148	Providencia rettgeri	0	Unknown	Human Microbiome Project
1948	SRS048981	23974210	3273534	feces	Human feces	3093148	Providencia stuartii	0	Unknown	Human Microbiome Project
1949	SRS048981	23974210	3273534	feces	Human feces	3093148	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
1950	SRS048981	23974210	3273534	feces	Human feces	3093148	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
1951	SRS048981	23974210	3273534	feces	Human feces	3093148	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
1952	SRS048981	23974210	3273534	feces	Human feces	3093148	Aeromonas media	0	Unknown	Human Microbiome Project
1953	SRS049164	28931340	4275171	feces	Human feces	4044425	Morganella morganii	1	Unknown	Human Microbiome Project
1954	SRS049164	28931340	4275171	feces	Human feces	4044425	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
1955	SRS049164	28931340	4275171	feces	Human feces	4044425	Proteus terrae	0	Unknown	Human Microbiome Project
1956	SRS049164	28931340	4275171	feces	Human feces	4044425	Providencia rettgeri	1	Unknown	Human Microbiome Project
1957	SRS049164	28931340	4275171	feces	Human feces	4044425	Providencia stuartii	0	Unknown	Human Microbiome Project
1958	SRS049164	28931340	4275171	feces	Human feces	4044425	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
1959	SRS049164	28931340	4275171	feces	Human feces	4044425	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
1960	SRS049164	28931340	4275171	feces	Human feces	4044425	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
1961	SRS049164	28931340	4275171	feces	Human feces	4044425	Aeromonas media	0	Unknown	Human Microbiome Project
1962	SRS049402	39973149	5851788	feces	Human feces	5642193	Morganella morganii	26	Unknown	Human Microbiome Project
1963	SRS049402	39973149	5851788	feces	Human feces	5642193	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
1964	SRS049402	39973149	5851788	feces	Human feces	5642193	Proteus terrae	23	Unknown	Human Microbiome Project
1965	SRS049402	39973149	5851788	feces	Human feces	5642193	Providencia rettgeri	8	Unknown	Human Microbiome Project
1966	SRS049402	39973149	5851788	feces	Human feces	5642193	Providencia stuartii	1	Unknown	Human Microbiome Project
1967	SRS049402	39973149	5851788	feces	Human feces	5642193	Kluyvera cryocrescens	48	Unknown	Human Microbiome Project
1968	SRS049402	39973149	5851788	feces	Human feces	5642193	Atlantibacter hermannii	54	Unknown	Human Microbiome Project
1969	SRS049402	39973149	5851788	feces	Human feces	5642193	Citrobacter amalonaticus	4	Unknown	Human Microbiome Project
1970	SRS049402	39973149	5851788	feces	Human feces	5642193	Aeromonas media	13	Unknown	Human Microbiome Project
1971	SRS049446	28043121	2248661	feces	Human feces	2159215	Morganella morganii	2	Unknown	Human Microbiome Project
1972	SRS049446	28043121	2248661	feces	Human feces	2159215	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
1973	SRS049446	28043121	2248661	feces	Human feces	2159215	Proteus terrae	1	Unknown	Human Microbiome Project
1974	SRS049446	28043121	2248661	feces	Human feces	2159215	Providencia rettgeri	0	Unknown	Human Microbiome Project
1975	SRS049446	28043121	2248661	feces	Human feces	2159215	Providencia stuartii	0	Unknown	Human Microbiome Project
1976	SRS049446	28043121	2248661	feces	Human feces	2159215	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
1977	SRS049446	28043121	2248661	feces	Human feces	2159215	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
1978	SRS049446	28043121	2248661	feces	Human feces	2159215	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
1979	SRS049446	28043121	2248661	feces	Human feces	2159215	Aeromonas media	0	Unknown	Human Microbiome Project
1980	SRS049712	59440255	4002747	feces	Human feces	3796823	Morganella morganii	0	Unknown	Human Microbiome Project
1981	SRS049712	59440255	4002747	feces	Human feces	3796823	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
1982	SRS049712	59440255	4002747	feces	Human feces	3796823	Proteus terrae	0	Unknown	Human Microbiome Project
1983	SRS049712	59440255	4002747	feces	Human feces	3796823	Providencia rettgeri	3	Unknown	Human Microbiome Project
1984	SRS049712	59440255	4002747	feces	Human feces	3796823	Providencia stuartii	0	Unknown	Human Microbiome Project
1985	SRS049712	59440255	4002747	feces	Human feces	3796823	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
1986	SRS049712	59440255	4002747	feces	Human feces	3796823	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
1987	SRS049712	59440255	4002747	feces	Human feces	3796823	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
1988	SRS049712	59440255	4002747	feces	Human feces	3796823	Aeromonas media	0	Unknown	Human Microbiome Project
1989	SRS049773	36287897	3895993	feces	Human feces	3706356	Morganella morganii	0	Unknown	Human Microbiome Project
1990	SRS049773	36287897	3895993	feces	Human feces	3706356	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
1991	SRS049773	36287897	3895993	feces	Human feces	3706356	Proteus terrae	0	Unknown	Human Microbiome Project
1992	SRS049773	36287897	3895993	feces	Human feces	3706356	Providencia rettgeri	0	Unknown	Human Microbiome Project
1993	SRS049773	36287897	3895993	feces	Human feces	3706356	Providencia stuartii	0	Unknown	Human Microbiome Project
1994	SRS049773	36287897	3895993	feces	Human feces	3706356	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
1995	SRS049773	36287897	3895993	feces	Human feces	3706356	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
1996	SRS049773	36287897	3895993	feces	Human feces	3706356	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
1997	SRS049773	36287897	3895993	feces	Human feces	3706356	Aeromonas media	0	Unknown	Human Microbiome Project
1998	SRS049896	93829602	6685717	feces	Human feces	6470420	Morganella morganii	5	Unknown	Human Microbiome Project
1999	SRS049896	93829602	6685717	feces	Human feces	6470420	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
2000	SRS049896	93829602	6685717	feces	Human feces	6470420	Proteus terrae	0	Unknown	Human Microbiome Project
2001	SRS049896	93829602	6685717	feces	Human feces	6470420	Providencia rettgeri	0	Unknown	Human Microbiome Project
2002	SRS049896	93829602	6685717	feces	Human feces	6470420	Providencia stuartii	0	Unknown	Human Microbiome Project
2003	SRS049896	93829602	6685717	feces	Human feces	6470420	Kluyvera cryocrescens	1	Unknown	Human Microbiome Project
2004	SRS049896	93829602	6685717	feces	Human feces	6470420	Atlantibacter hermannii	1	Unknown	Human Microbiome Project
2005	SRS049896	93829602	6685717	feces	Human feces	6470420	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
2006	SRS049896	93829602	6685717	feces	Human feces	6470420	Aeromonas media	1	Unknown	Human Microbiome Project
2007	SRS049900	67387087	3753280	feces	Human feces	3555702	Morganella morganii	0	Unknown	Human Microbiome Project
2008	SRS049900	67387087	3753280	feces	Human feces	3555702	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
2009	SRS049900	67387087	3753280	feces	Human feces	3555702	Proteus terrae	0	Unknown	Human Microbiome Project
2010	SRS049900	67387087	3753280	feces	Human feces	3555702	Providencia rettgeri	0	Unknown	Human Microbiome Project
2011	SRS049900	67387087	3753280	feces	Human feces	3555702	Providencia stuartii	0	Unknown	Human Microbiome Project
2012	SRS049900	67387087	3753280	feces	Human feces	3555702	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
2013	SRS049900	67387087	3753280	feces	Human feces	3555702	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
2014	SRS049900	67387087	3753280	feces	Human feces	3555702	Citrobacter amalonaticus	1	Unknown	Human Microbiome Project
2015	SRS049900	67387087	3753280	feces	Human feces	3555702	Aeromonas media	0	Unknown	Human Microbiome Project
2016	SRS049959	53853814	2851773	feces	Human feces	2747926	Morganella morganii	0	Unknown	Human Microbiome Project
2017	SRS049959	53853814	2851773	feces	Human feces	2747926	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
2018	SRS049959	53853814	2851773	feces	Human feces	2747926	Proteus terrae	0	Unknown	Human Microbiome Project
2019	SRS049959	53853814	2851773	feces	Human feces	2747926	Providencia rettgeri	2	Unknown	Human Microbiome Project
2020	SRS049959	53853814	2851773	feces	Human feces	2747926	Providencia stuartii	0	Unknown	Human Microbiome Project
2021	SRS049959	53853814	2851773	feces	Human feces	2747926	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
2022	SRS049959	53853814	2851773	feces	Human feces	2747926	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
2023	SRS049959	53853814	2851773	feces	Human feces	2747926	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
2024	SRS049959	53853814	2851773	feces	Human feces	2747926	Aeromonas media	0	Unknown	Human Microbiome Project
2025	SRS049995	61929053	6885511	feces	Human feces	6712378	Morganella morganii	0	Unknown	Human Microbiome Project
2026	SRS049995	61929053	6885511	feces	Human feces	6712378	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
2027	SRS049995	61929053	6885511	feces	Human feces	6712378	Proteus terrae	0	Unknown	Human Microbiome Project
2028	SRS049995	61929053	6885511	feces	Human feces	6712378	Providencia rettgeri	0	Unknown	Human Microbiome Project
2029	SRS049995	61929053	6885511	feces	Human feces	6712378	Providencia stuartii	0	Unknown	Human Microbiome Project
2030	SRS049995	61929053	6885511	feces	Human feces	6712378	Kluyvera cryocrescens	5	Unknown	Human Microbiome Project
2031	SRS049995	61929053	6885511	feces	Human feces	6712378	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
2032	SRS049995	61929053	6885511	feces	Human feces	6712378	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
2033	SRS049995	61929053	6885511	feces	Human feces	6712378	Aeromonas media	0	Unknown	Human Microbiome Project
2034	SRS050026	43680043	4778024	feces	Human feces	4667651	Morganella morganii	0	Unknown	Human Microbiome Project
2035	SRS050026	43680043	4778024	feces	Human feces	4667651	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
2036	SRS050026	43680043	4778024	feces	Human feces	4667651	Proteus terrae	0	Unknown	Human Microbiome Project
2037	SRS050026	43680043	4778024	feces	Human feces	4667651	Providencia rettgeri	0	Unknown	Human Microbiome Project
2038	SRS050026	43680043	4778024	feces	Human feces	4667651	Providencia stuartii	0	Unknown	Human Microbiome Project
2039	SRS050026	43680043	4778024	feces	Human feces	4667651	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
2040	SRS050026	43680043	4778024	feces	Human feces	4667651	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
2041	SRS050026	43680043	4778024	feces	Human feces	4667651	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
2042	SRS050026	43680043	4778024	feces	Human feces	4667651	Aeromonas media	0	Unknown	Human Microbiome Project
2043	SRS050299	34599992	5719535	feces	Human feces	5557654	Morganella morganii	1	Unknown	Human Microbiome Project
2044	SRS050299	34599992	5719535	feces	Human feces	5557654	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
2045	SRS050299	34599992	5719535	feces	Human feces	5557654	Proteus terrae	0	Unknown	Human Microbiome Project
2046	SRS050299	34599992	5719535	feces	Human feces	5557654	Providencia rettgeri	0	Unknown	Human Microbiome Project
2047	SRS050299	34599992	5719535	feces	Human feces	5557654	Providencia stuartii	0	Unknown	Human Microbiome Project
2048	SRS050299	34599992	5719535	feces	Human feces	5557654	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
2049	SRS050299	34599992	5719535	feces	Human feces	5557654	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
2050	SRS050299	34599992	5719535	feces	Human feces	5557654	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
2051	SRS050299	34599992	5719535	feces	Human feces	5557654	Aeromonas media	0	Unknown	Human Microbiome Project
2052	SRS050422	36569518	3570120	feces	Human feces	3420175	Morganella morganii	19	Unknown	Human Microbiome Project
2053	SRS050422	36569518	3570120	feces	Human feces	3420175	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
2054	SRS050422	36569518	3570120	feces	Human feces	3420175	Proteus terrae	0	Unknown	Human Microbiome Project
2055	SRS050422	36569518	3570120	feces	Human feces	3420175	Providencia rettgeri	0	Unknown	Human Microbiome Project
2056	SRS050422	36569518	3570120	feces	Human feces	3420175	Providencia stuartii	0	Unknown	Human Microbiome Project
2057	SRS050422	36569518	3570120	feces	Human feces	3420175	Kluyvera cryocrescens	13	Unknown	Human Microbiome Project
2058	SRS050422	36569518	3570120	feces	Human feces	3420175	Atlantibacter hermannii	8	Unknown	Human Microbiome Project
2059	SRS050422	36569518	3570120	feces	Human feces	3420175	Citrobacter amalonaticus	4	Unknown	Human Microbiome Project
2060	SRS050422	36569518	3570120	feces	Human feces	3420175	Aeromonas media	6	Unknown	Human Microbiome Project
2061	SRS050520	4840544	633289	feces	Human feces	613041	Morganella morganii	0	Unknown	Human Microbiome Project
2062	SRS050520	4840544	633289	feces	Human feces	613041	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
2063	SRS050520	4840544	633289	feces	Human feces	613041	Proteus terrae	0	Unknown	Human Microbiome Project
2064	SRS050520	4840544	633289	feces	Human feces	613041	Providencia rettgeri	0	Unknown	Human Microbiome Project
2065	SRS050520	4840544	633289	feces	Human feces	613041	Providencia stuartii	0	Unknown	Human Microbiome Project
2066	SRS050520	4840544	633289	feces	Human feces	613041	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
2067	SRS050520	4840544	633289	feces	Human feces	613041	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
2068	SRS050520	4840544	633289	feces	Human feces	613041	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
2069	SRS050520	4840544	633289	feces	Human feces	613041	Aeromonas media	0	Unknown	Human Microbiome Project
2070	SRS050752	48627618	3722718	feces	Human feces	3619279	Morganella morganii	3	Unknown	Human Microbiome Project
2071	SRS050752	48627618	3722718	feces	Human feces	3619279	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
2072	SRS050752	48627618	3722718	feces	Human feces	3619279	Proteus terrae	0	Unknown	Human Microbiome Project
2073	SRS050752	48627618	3722718	feces	Human feces	3619279	Providencia rettgeri	0	Unknown	Human Microbiome Project
2074	SRS050752	48627618	3722718	feces	Human feces	3619279	Providencia stuartii	0	Unknown	Human Microbiome Project
2075	SRS050752	48627618	3722718	feces	Human feces	3619279	Kluyvera cryocrescens	2	Unknown	Human Microbiome Project
2076	SRS050752	48627618	3722718	feces	Human feces	3619279	Atlantibacter hermannii	5	Unknown	Human Microbiome Project
2077	SRS050752	48627618	3722718	feces	Human feces	3619279	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
2078	SRS050752	48627618	3722718	feces	Human feces	3619279	Aeromonas media	0	Unknown	Human Microbiome Project
2079	SRS050801	4764602	570252	feces	Human feces	535041	Morganella morganii	0	Unknown	Human Microbiome Project
2080	SRS050801	4764602	570252	feces	Human feces	535041	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
2081	SRS050801	4764602	570252	feces	Human feces	535041	Proteus terrae	0	Unknown	Human Microbiome Project
2082	SRS050801	4764602	570252	feces	Human feces	535041	Providencia rettgeri	0	Unknown	Human Microbiome Project
2083	SRS050801	4764602	570252	feces	Human feces	535041	Providencia stuartii	0	Unknown	Human Microbiome Project
2084	SRS050801	4764602	570252	feces	Human feces	535041	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
2085	SRS050801	4764602	570252	feces	Human feces	535041	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
2086	SRS050801	4764602	570252	feces	Human feces	535041	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
2087	SRS050801	4764602	570252	feces	Human feces	535041	Aeromonas media	0	Unknown	Human Microbiome Project
2088	SRS050925	46995718	6175176	feces	Human feces	6038620	Morganella morganii	0	Unknown	Human Microbiome Project
2089	SRS050925	46995718	6175176	feces	Human feces	6038620	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
2090	SRS050925	46995718	6175176	feces	Human feces	6038620	Proteus terrae	0	Unknown	Human Microbiome Project
2091	SRS050925	46995718	6175176	feces	Human feces	6038620	Providencia rettgeri	0	Unknown	Human Microbiome Project
2092	SRS050925	46995718	6175176	feces	Human feces	6038620	Providencia stuartii	0	Unknown	Human Microbiome Project
2093	SRS050925	46995718	6175176	feces	Human feces	6038620	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
2094	SRS050925	46995718	6175176	feces	Human feces	6038620	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
2095	SRS050925	46995718	6175176	feces	Human feces	6038620	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
2096	SRS050925	46995718	6175176	feces	Human feces	6038620	Aeromonas media	0	Unknown	Human Microbiome Project
2097	SRS050941	24087456	2730099	feces	Human feces	2637821	Morganella morganii	1	Unknown	Human Microbiome Project
2098	SRS050941	24087456	2730099	feces	Human feces	2637821	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
2099	SRS050941	24087456	2730099	feces	Human feces	2637821	Proteus terrae	0	Unknown	Human Microbiome Project
2100	SRS050941	24087456	2730099	feces	Human feces	2637821	Providencia rettgeri	0	Unknown	Human Microbiome Project
2101	SRS050941	24087456	2730099	feces	Human feces	2637821	Providencia stuartii	0	Unknown	Human Microbiome Project
2102	SRS050941	24087456	2730099	feces	Human feces	2637821	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
2103	SRS050941	24087456	2730099	feces	Human feces	2637821	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
2104	SRS050941	24087456	2730099	feces	Human feces	2637821	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
2105	SRS050941	24087456	2730099	feces	Human feces	2637821	Aeromonas media	0	Unknown	Human Microbiome Project
2106	SRS050974	3987859	293638	feces	Human feces	281572	Morganella morganii	1	Unknown	Human Microbiome Project
2107	SRS050974	3987859	293638	feces	Human feces	281572	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
2108	SRS050974	3987859	293638	feces	Human feces	281572	Proteus terrae	0	Unknown	Human Microbiome Project
2109	SRS050974	3987859	293638	feces	Human feces	281572	Providencia rettgeri	0	Unknown	Human Microbiome Project
2110	SRS050974	3987859	293638	feces	Human feces	281572	Providencia stuartii	0	Unknown	Human Microbiome Project
2111	SRS050974	3987859	293638	feces	Human feces	281572	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
2112	SRS050974	3987859	293638	feces	Human feces	281572	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
2113	SRS050974	3987859	293638	feces	Human feces	281572	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
2114	SRS050974	3987859	293638	feces	Human feces	281572	Aeromonas media	0	Unknown	Human Microbiome Project
2115	SRS051031	55112996	4069632	feces	Human feces	3863431	Morganella morganii	0	Unknown	Human Microbiome Project
2116	SRS051031	55112996	4069632	feces	Human feces	3863431	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
2117	SRS051031	55112996	4069632	feces	Human feces	3863431	Proteus terrae	0	Unknown	Human Microbiome Project
2118	SRS051031	55112996	4069632	feces	Human feces	3863431	Providencia rettgeri	0	Unknown	Human Microbiome Project
2119	SRS051031	55112996	4069632	feces	Human feces	3863431	Providencia stuartii	0	Unknown	Human Microbiome Project
2120	SRS051031	55112996	4069632	feces	Human feces	3863431	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
2121	SRS051031	55112996	4069632	feces	Human feces	3863431	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
2122	SRS051031	55112996	4069632	feces	Human feces	3863431	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
2123	SRS051031	55112996	4069632	feces	Human feces	3863431	Aeromonas media	0	Unknown	Human Microbiome Project
2124	SRS051610	21249360	3098940	feces	Human feces	2906104	Morganella morganii	0	Unknown	Human Microbiome Project
2125	SRS051610	21249360	3098940	feces	Human feces	2906104	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
2126	SRS051610	21249360	3098940	feces	Human feces	2906104	Proteus terrae	0	Unknown	Human Microbiome Project
2127	SRS051610	21249360	3098940	feces	Human feces	2906104	Providencia rettgeri	0	Unknown	Human Microbiome Project
2128	SRS051610	21249360	3098940	feces	Human feces	2906104	Providencia stuartii	0	Unknown	Human Microbiome Project
2129	SRS051610	21249360	3098940	feces	Human feces	2906104	Kluyvera cryocrescens	1	Unknown	Human Microbiome Project
2130	SRS051610	21249360	3098940	feces	Human feces	2906104	Atlantibacter hermannii	7	Unknown	Human Microbiome Project
2131	SRS051610	21249360	3098940	feces	Human feces	2906104	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
2132	SRS051610	21249360	3098940	feces	Human feces	2906104	Aeromonas media	0	Unknown	Human Microbiome Project
