	sample_acc	n_reads	n_classified_reads	source	source_class	n_bacterial_reads	species	n_origin_reads	sample_loc	project
48	SRS011302	60579449	4161378	feces	Human feces	3687218	Providencia rettgeri	0	Unknown	Human Microbiome Project
49	SRS011302	60579449	4161378	feces	Human feces	3687218	Providencia stuartii	0	Unknown	Human Microbiome Project
50	SRS011302	60579449	4161378	feces	Human feces	3687218	Kluyvera cryocrescens	1	Unknown	Human Microbiome Project
51	SRS011302	60579449	4161378	feces	Human feces	3687218	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
52	SRS011302	60579449	4161378	feces	Human feces	3687218	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
53	SRS011302	60579449	4161378	feces	Human feces	3687218	Aeromonas media	0	Unknown	Human Microbiome Project
54	SRS011405	61020717	9261572	feces	Human feces	8852806	Morganella morganii	0	Unknown	Human Microbiome Project
55	SRS011405	61020717	9261572	feces	Human feces	8852806	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
56	SRS011405	61020717	9261572	feces	Human feces	8852806	Proteus terrae	0	Unknown	Human Microbiome Project
57	SRS011405	61020717	9261572	feces	Human feces	8852806	Providencia rettgeri	0	Unknown	Human Microbiome Project
58	SRS011405	61020717	9261572	feces	Human feces	8852806	Providencia stuartii	0	Unknown	Human Microbiome Project
59	SRS011405	61020717	9261572	feces	Human feces	8852806	Kluyvera cryocrescens	1	Unknown	Human Microbiome Project
60	SRS011405	61020717	9261572	feces	Human feces	8852806	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
61	SRS011405	61020717	9261572	feces	Human feces	8852806	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
62	SRS011405	61020717	9261572	feces	Human feces	8852806	Aeromonas media	0	Unknown	Human Microbiome Project
63	SRS011452	18114940	2477349	feces	Human feces	2366281	Morganella morganii	0	Unknown	Human Microbiome Project
64	SRS011452	18114940	2477349	feces	Human feces	2366281	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
65	SRS011452	18114940	2477349	feces	Human feces	2366281	Proteus terrae	0	Unknown	Human Microbiome Project
66	SRS011452	18114940	2477349	feces	Human feces	2366281	Providencia rettgeri	0	Unknown	Human Microbiome Project
67	SRS011452	18114940	2477349	feces	Human feces	2366281	Providencia stuartii	0	Unknown	Human Microbiome Project
68	SRS011452	18114940	2477349	feces	Human feces	2366281	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
69	SRS011452	18114940	2477349	feces	Human feces	2366281	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
70	SRS011452	18114940	2477349	feces	Human feces	2366281	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
71	SRS011452	18114940	2477349	feces	Human feces	2366281	Aeromonas media	0	Unknown	Human Microbiome Project
72	SRS011529	62495197	5493217	feces	Human feces	5372826	Morganella morganii	0	Unknown	Human Microbiome Project
73	SRS011529	62495197	5493217	feces	Human feces	5372826	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
74	SRS011529	62495197	5493217	feces	Human feces	5372826	Proteus terrae	0	Unknown	Human Microbiome Project
